Alternatif,C11,C12,C13,C14,C21,C22,C23,C31,C32,C33,C41,C42,C43
Siswa_1,4,4,4,5,4,3,3,4,5,4,2,3,4
Siswa_2,3,5,4,5,5,5,4,4,5,4,4,5,3
Siswa_3,4,2,5,3,4,3,2,3,4,4,5,5,3
Siswa_4,5,4,2,4,3,2,4,3,2,3,4,3,4
Siswa_5,3,4,5,4,5,2,4,3,5,4,4,3,2
Siswa_6,3,4,2,5,3,4,4,2,2,2,3,4,5
Siswa_7,5,2,3,3,1,2,4,5,4,3,2,3,3
Siswa_8,4,2,4,4,2,5,5,4,3,3,5,4,4
Siswa_9,3,4,4,5,2,1,3,3,3,3,3,4,4
Siswa_10,4,4,3,2,3,5,3,4,4,5,3,5,3
Siswa_11,3,4,3,2,4,4,3,4,4,5,5,3,4
Siswa_12,3,4,3,1,5,3,3,1,4,4,4,3,3
Siswa_13,4,3,3,3,4,3,3,3,5,2,4,3,4
Siswa_14,2,4,4,4,3,4,5,3,4,3,5,3,2
Siswa_15,2,4,4,5,4,3,5,2,3,5,3,3,4
Siswa_16,3,3,3,4,1,5,3,3,4,4,4,4,5
Siswa_17,2,5,4,5,4,4,3,5,5,5,4,4,2
Siswa_18,4,4,4,2,4,4,4,4,2,4,4,3,3
Siswa_19,3,2,4,2,2,3,3,3,4,4,5,5,4
Siswa_20,2,4,4,3,5,3,4,4,4,3,4,3,4
Siswa_21,5,3,3,4,4,4,4,5,3,4,4,3,4
Siswa_22,3,4,3,3,3,2,2,4,5,3,5,3,4
Siswa_23,4,5,4,1,4,2,5,4,3,4,3,1,4
Siswa_24,2,3,4,3,5,4,5,3,4,4,3,4,5
Siswa_25,3,4,3,2,4,4,3,4,3,3,2,4,4
Siswa_26,4,4,4,4,4,3,3,4,4,2,2,3,3
Siswa_27,2,4,5,4,3,4,4,4,2,2,5,4,4
Siswa_28,4,5,3,3,3,4,4,4,2,4,2,4,5
Siswa_29,3,3,4,3,4,3,4,5,5,2,3,2,3
Siswa_30,3,3,3,2,3,3,5,3,3,1,3,3,3
Siswa_31,3,3,3,3,4,4,3,5,3,4,4,4,5
Siswa_32,5,3,5,4,3,3,3,4,1,5,4,2,3
Siswa_33,3,3,4,3,4,4,2,5,3,3,4,4,1
Siswa_34,2,4,4,4,4,2,3,3,2,4,3,2,4
Siswa_35,4,4,5,3,5,5,3,5,5,4,3,4,3
Siswa_36,2,4,4,3,3,4,5,4,5,3,4,3,3
Siswa_37,4,4,4,3,3,4,3,3,3,4,3,2,4
Siswa_38,2,5,3,2,3,4,4,3,5,3,5,5,4
Siswa_39,2,3,4,3,3,5,3,3,4,4,4,3,4
Siswa_40,4,5,3,2,4,5,5,4,3,4,4,3,3
Siswa_41,4,4,4,5,4,2,5,4,1,3,4,4,4
Siswa_42,4,3,4,4,3,2,3,3,5,4,5,5,3
Siswa_43,3,2,3,3,4,3,3,3,2,3,4,2,4
