student_id,C11,C12,C13,C14,C21,C22,C23,C31,C32,C33,C41,C42,C43
SYN-00001,4.1,4.4,4.4,4.5,4.0,4.6,3.6,4.2,4.2,4.6,4.4,4.0,4.1
SYN-00002,4.2,4.1,4.0,4.0,4.4,4.0,4.1,4.8,3.7,3.6,4.4,3.9,4.1
SYN-00003,4.2,4.3,4.9,4.7,4.7,4.0,4.1,3.6,4.2,4.7,4.6,4.4,4.4
SYN-00004,4.5,4.8,5.0,4.2,4.8,5.0,4.6,4.9,5.0,4.7,4.9,4.5,4.8
SYN-00005,4.3,4.2,3.8,4.2,4.6,4.3,4.4,4.0,4.3,4.2,3.8,4.2,3.8
SYN-00006,3.9,4.2,4.2,3.8,4.4,4.3,3.9,3.7,4.1,4.0,4.2,4.0,3.5
SYN-00007,4.6,4.7,4.9,4.5,5.0,4.2,5.0,4.7,5.0,4.8,5.0,4.6,4.4
SYN-00008,4.9,4.4,4.5,4.8,4.2,4.6,4.3,4.4,4.5,4.0,4.2,4.9,4.7
SYN-00009,4.0,4.1,3.9,4.4,4.0,4.1,4.4,3.8,4.5,3.6,4.5,3.9,4.0
SYN-00010,3.8,4.3,4.1,4.2,4.3,4.7,4.5,4.5,4.1,4.1,4.9,4.2,4.9
SYN-00011,4.0,4.0,4.4,4.4,4.0,3.9,4.0,4.1,4.3,4.0,4.2,4.5,4.2
SYN-00012,4.1,3.6,3.2,4.2,4.0,3.9,4.1,4.0,4.4,4.1,3.8,4.3,4.0
SYN-00013,4.4,4.1,4.1,4.3,4.3,4.4,4.2,3.7,4.2,4.5,4.2,4.2,4.6
SYN-00014,3.3,3.1,3.5,3.4,3.2,3.5,3.7,3.5,3.6,4.1,3.4,3.6,3.4
SYN-00015,3.3,3.4,3.5,3.7,4.3,3.4,3.5,3.6,3.7,3.7,4.0,2.9,2.9
SYN-00016,3.9,4.3,3.5,3.1,4.2,4.1,3.7,3.7,3.7,4.0,3.8,4.2,3.1
SYN-00017,3.6,3.5,3.8,3.7,4.1,3.3,3.9,4.0,4.4,3.7,3.9,3.3,3.1
SYN-00018,4.6,4.3,4.7,3.9,4.5,4.9,4.4,4.4,4.3,3.8,4.7,4.1,4.5
SYN-00019,3.4,3.5,4.3,3.8,4.3,3.9,3.3,4.1,3.7,4.1,3.9,3.4,3.9
SYN-00020,4.4,3.9,3.7,4.0,3.8,3.8,3.4,3.8,4.0,3.5,4.1,3.7,3.4
SYN-00021,5.0,4.6,4.9,4.6,4.7,4.9,4.8,4.1,4.4,5.0,4.7,4.6,4.3
SYN-00022,3.8,3.5,4.1,3.9,3.8,4.1,4.2,4.7,3.7,4.5,4.4,3.9,4.2
SYN-00023,4.1,4.3,4.7,4.4,4.4,4.1,3.8,4.2,4.6,3.8,3.9,4.3,3.9
SYN-00024,3.5,3.6,3.3,3.4,3.9,3.3,3.2,3.5,3.9,3.6,3.6,3.7,3.2
SYN-00025,4.2,4.1,3.9,4.3,3.7,4.3,4.1,3.9,4.0,4.0,4.4,3.7,3.8
SYN-00026,4.5,4.1,4.5,4.7,4.1,4.4,3.9,4.5,4.3,4.4,4.0,3.7,4.4
